"Unidade da Federacao";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondonia";"37";"45";"30";"42";"40";"50";"78";"156";"159";"637"
"12 Acre";"29";"21";"33";"23";"23";"23";"17";"30";"36";"235"
"13 Amazonas";"53";"45";"72";"80";"85";"106";"161";"134";"160";"896"
"14 Roraima";"4";"7";"5";"4";"2";"5";"13";"20";"13";"73"
"15 Para";"122";"126";"122";"159";"153";"292";"324";"292";"435";"2025"
"16 Amapa";"18";"17";"18";"20";"32";"36";"29";"42";"27";"239"
"17 Tocantins";"29";"18";"15";"22";"24";"39";"51";"53";"46";"297"
"21 Maranhao";"99";"135";"131";"128";"157";"206";"302";"283";"421";"1862"
"22 Piaui";"78";"67";"80";"72";"88";"118";"119";"138";"114";"874"
"23 Ceara";"331";"323";"343";"384";"374";"505";"530";"537";"519";"3846"
"24 Rio Grande do Norte";"126";"130";"140";"131";"151";"239";"614";"662";"794";"2987"
"25 Paraiba";"116";"125";"117";"143";"132";"208";"238";"211";"243";"1533"
"26 Pernambuco";"219";"302";"273";"259";"292";"332";"852";"672";"888";"4089"
"27 Alagoas";"56";"70";"61";"67";"77";"108";"271";"992";"2693";"4395"
"28 Sergipe";"26";"24";"72";"62";"50";"62";"69";"83";"105";"553"
"29 Bahia";"242";"304";"265";"329";"377";"503";"610";"562";"674";"3866"
"31 Minas Gerais";"704";"725";"735";"761";"809";"1092";"1342";"1386";"1686";"9240"
"32 Espirito Santo";"124";"132";"158";"155";"181";"215";"232";"263";"335";"1795"
"33 Rio de Janeiro";"339";"330";"350";"341";"343";"365";"897";"929";"1032";"4926"
"35 Sao Paulo";"1474";"1386";"1411";"1312";"1356";"2034";"2692";"2532";"2697";"16894"
"41 Parana";"452";"472";"478";"558";"612";"779";"1209";"1026";"918";"6504"
"42 Santa Catarina";"283";"322";"339";"343";"363";"508";"624";"635";"708";"4125"
"43 Rio Grande do Sul";"396";"414";"445";"422";"439";"676";"2730";"3385";"4100";"13007"
"50 Mato Grosso do Sul";"74";"67";"78";"86";"85";"115";"763";"522";"305";"2095"
"51 Mato Grosso";"77";"79";"85";"95";"82";"139";"145";"127";"167";"996"
"52 Goias";"144";"143";"139";"168";"180";"182";"340";"814";"1259";"3369"
"53 Distrito Federal";"70";"50";"46";"71";"76";"103";"102";"128";"109";"755"
"Total";"5722";"5879";"6041";"6237";"6583";"9040";"15354";"16614";"20643";"92113"
