"UF do diagnóstico";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";" Total"
"11 Rondônia";"2";"1";"7";"25";"28";"33";"59";"88";"98";"114";"100";"90";"61";"61";"767"
"12 Acre";"0";"0";"3";"7";"15";"19";"24";"31";"23";"24";"27";"18";"12";"6";"209"
"13 Amazonas";"3";"5";"8";"20";"42";"73";"61";"100";"119";"150";"126";"93";"58";"26";"884"
"14 Roraima";"0";"0";"1";"4";"2";"5";"8";"9";"3";"12";"6";"4";"3";"1";"58"
"15 Pará";"3";"10";"32";"66";"113";"144";"183";"200";"267";"300";"225";"193";"121";"75";"1932"
"16 Amapá";"1";"2";"5";"4";"7";"14";"28";"29";"21";"30";"29";"15";"9";"9";"203"
"17 Tocantins";"0";"1";"3";"5";"14";"16";"29";"35";"32";"36";"41";"25";"25";"17";"279"
"21 Maranhão";"8";"13";"33";"58";"95";"91";"138";"205";"237";"250";"242";"199";"137";"89";"1795"
"22 Piauí";"1";"3";"8";"20";"32";"39";"71";"104";"129";"140";"135";"115";"83";"44";"924"
"23 Ceará";"2";"14";"30";"94";"158";"218";"250";"376";"500";"516";"546";"509";"375";"266";"3854"
"24 Rio Grande do Norte";"12";"29";"49";"91";"100";"205";"226";"329";"368";"359";"408";"379";"234";"203";"2992"
"25 Paraíba";"1";"8";"20";"36";"57";"82";"92";"148";"213";"213";"230";"209";"116";"76";"1501"
"26 Pernambuco";"68";"70";"119";"159";"239";"283";"351";"455";"557";"533";"503";"377";"276";"166";"4156"
"27 Alagoas";"115";"187";"239";"292";"408";"548";"569";"494";"448";"366";"332";"223";"130";"113";"4464"
"28 Sergipe";"0";"1";"4";"12";"23";"30";"54";"63";"75";"86";"87";"82";"43";"22";"582"
"29 Bahia";"6";"14";"44";"99";"162";"225";"298";"445";"478";"509";"535";"458";"297";"174";"3744"
"31 Minas Gerais";"23";"30";"87";"140";"210";"351";"548";"826";"1108";"1393";"1389";"1198";"893";"751";"8947"
"32 Espírito Santo";"0";"6";"14";"24";"55";"68";"100";"180";"239";"292";"311";"216";"167";"130";"1802"
"33 Rio de Janeiro";"44";"27";"50";"86";"152";"218";"328";"485";"686";"828";"752";"587";"383";"276";"4902"
"35 São Paulo";"61";"65";"171";"309";"484";"734";"1124";"1700";"2363";"2836";"2802";"2308";"1577";"1111";"17645"
"41 Paraná";"15";"18";"53";"102";"144";"277";"427";"628";"878";"1026";"1091";"840";"636";"499";"6634"
"42 Santa Catarina";"3";"25";"34";"63";"116";"168";"312";"445";"604";"658";"644";"508";"313";"197";"4090"
"43 Rio Grande do Sul";"339";"241";"330";"423";"579";"714";"912";"1265";"1585";"1840";"1751";"1389";"907";"722";"12997"
"50 Mato Grosso do Sul";"30";"51";"51";"94";"113";"146";"171";"203";"248";"259";"191";"162";"102";"84";"1905"
"51 Mato Grosso";"1";"2";"10";"17";"22";"49";"77";"107";"120";"138";"123";"104";"87";"44";"901"
"52 Goiás";"69";"86";"107";"146";"210";"242";"290";"329";"371";"370";"320";"269";"163";"133";"3105"
"53 Distrito Federal";"2";"4";"15";"27";"41";"53";"64";"77";"118";"110";"127";"85";"72";"46";"841"
"Total";"809";"913";"1527";"2423";"3621";"5045";"6794";"9356";"11888";"13388";"13073";"10655";"7280";"5341";"92113"
