"Unidade da Federacao";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"11 Rondonia";1728214;1748531;1768204;1787279;1805788;1757589;1777225;1796460;1815278
"12 Acre";776463;790101;803513;816687;829619;869265;881935;894470;906876
"13 Amazonas";3807921;3873743;3938336;4001667;4063614;4080611;4144597;4207714;4269995
"14 Roraima";488072;496936;505665;514229;522636;576568;605761;631181;652713
"15 Para";7999729;8104880;8206923;8305359;8366628;8513497;8602865;8690745;8777124
"16 Amapa";734996;750912;766679;782295;797722;829494;845731;861773;877613
"17 Tocantins";1478164;1496880;1515126;1532902;1550194;1555229;1572866;1590248;1607363
"21 Maranhao";6794301;6850884;6904241;6954036;7000229;7035055;7075181;7114598;7153262
"22 Piaui";3184166;3194718;3204028;3212180;3219257;3264531;3273227;3281480;3289290
"23 Ceara";8778576;8842791;8904459;8963663;9020460;9075649;9132078;9187103;9240580
"24 Rio Grande do Norte";3373959;3408510;3442175;3474998;3507003;3479010;3506853;3534165;3560903
"25 Paraiba";3914421;3943885;3972202;3999415;4025558;3996496;4018127;4039277;4059905
"26 Pernambuco";9208550;9277727;9345173;9410336;9473266;9496294;9557071;9616621;9674793
"27 Alagoas";3300935;3321730;3340932;3358963;3375823;3322820;3337357;3351543;3365351
"28 Sergipe";2195662;2219574;2242937;2265779;2288116;2278308;2298696;2318822;2338474
"29 Bahia";15044137;15126371;15203934;15276566;15344447;14812617;14873064;14930634;14985284
"31 Minas Gerais";20593356;20734097;20869101;20997560;21119536;21040662;21168791;21292666;21411923
"32 Espirito Santo";3839366;3885049;3929911;3973697;4016356;3972388;4018650;4064052;4108508
"33 Rio de Janeiro";16369179;16461173;16550024;16635996;16718956;17159960;17264943;17366189;17463349
"35 Sao Paulo";43663669;44035304;44396484;44749699;45094866;45538936;45919049;46289333;46649132
"41 Parana";10997465;11081692;11163018;11242720;11320892;11348937;11433957;11516840;11597484
"42 Santa Catarina";6634254;6727148;6819190;6910553;7001161;7075494;7164788;7252502;7338473
"43 Rio Grande do Sul";11164043;11207274;11247972;11286500;11322895;11329605;11377239;11422973;11466630
"50 Mato Grosso do Sul";2587269;2619657;2651235;2682386;2713147;2748023;2778986;2809394;2839188
"51 Mato Grosso";3182113;3224357;3265486;3305531;3344544;3441998;3484466;3526220;3567234
"52 Goias";6434048;6523222;6610681;6695855;6778772;6921161;7018354;7113540;7206589
"53 Distrito Federal";2789761;2852372;2914830;2977216;3039444;2974703;3015268;3055149;3094325
"Total";201062789;202799518;204482459;206114067;207660929;208494900;210147125;211755692;213317639
 
